trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
613,613_0,FAILED,SOBOL,,,2364,0.240808307539671667685254874414,0.618745977917686151847931341763,2809,2839,3119
614,614_0,RUNNING,SOBOL,,,1330,0.861032490525394655911384234059,0.940359320901334339026789166383,3671,3733,4206
615,615_0,RUNNING,SOBOL,,,3442,0.083647000662982459728844730762,0.297025826046243335287755371610,634,1318,275
616,616_0,RUNNING,SOBOL,,,4526,0.627799680717289421139071237121,0.631652346963062827356338857498,4160,903,1978
617,617_0,FAILED,SOBOL,,,383,0.411911853540688766006638843464,0.105759157247841364957174903338,1553,4109,3673
618,618_0,RUNNING,SOBOL,,,480,0.657077643400058142297837093793,0.777036521911621091973643160600,3124,2450,24
619,619_0,RUNNING,SOBOL,,,4624,0.382649098681285992906708770533,0.484562521027401105211396270533,87,2520,4229
620,620_0,RUNNING,SOBOL,,,3657,0.827934635283425479634900057135,0.586256449552252867363222321728,4707,4615,3500
621,621_0,RUNNING,SOBOL,,,1544,0.116760093471035358847487373168,0.177316265866160394093498098300,2100,316,2080
622,622_0,RUNNING,SOBOL,,,2229,0.986058836622163648044647743518,0.265038860382512231339546815434,1863,1221,676
623,623_0,RUNNING,SOBOL,,,2621,0.207633366608992231405750317208,0.970260050550103225752707203355,3845,3791,4919
624,624_0,RUNNING,SOBOL,,,4095,0.503814272115007066865643992060,0.073284872025251385219135613625,944,3425,2825
625,625_0,RUNNING,SOBOL,,,735,0.286884553818032128624793131166,0.662040366427972926111067408783,3356,1626,1443
626,626_0,RUNNING,SOBOL,,,1183,0.797098467418923983807133026858,0.011122096540406346126816927722,4278,3048,2342
